Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1978,1.324,1.440,1.451,1.422,1.504,1.472,1.451,1.451,1.451,1.444,1.416,1.346
1979,1.279,1.205,1.131,1.440,1.440,1.451,1.416,1.413,1.428,1.434,1.451,1.444
1980,1.422,1.371,1.309,1.264,1.246,1.224,0.909,0.638,0.613,0.571,0.560,0.631
1981,0.672,0.598,0.476,0.343,0.359,0.521,0.109,0.737,1.005,1.158,1.012,0.848
1982,0.562,0.175,0.174,0.083,0.414,0.303,0.095,0.044,0.044,0.323,0.315,0.120
1983,0.000,0.000,0.730,0.892,0.865,0.860,0.627,0.462,0.217,0.174,0.081,0.053
1984,0.064,0.053,0.000,0.000,0.000,0.990,0.949,0.788,1.020,1.374,1.407,1.068
1985,0.855,0.780,0.368,0.000,0.078,0.102,0.000,0.138,0.420,0.524,0.683,0.647
1986,0.466,0.337,0.155,0.084,0.549,1.431,1.318,1.107,0.768,0.489,0.358,0.352
1987,0.209,0.081,0.068,0.093,0.313,0.242,0.053,0.081,0.000,0.319,0.423,0.230
1988,0.074,0.091,0.101,0.000,0.611,0.521,0.314,0.212,0.124,0.312,0.477,0.185
1989,0.149,0.141,0.494,0.427,0.293,0.236,0.224,0.211,0.143,0.107,0.087,0.086
1990,0.067,0.077,0.086,0.092,0.055,0.102,0.094,0.056,0.076,1.350,1.392,1.356
1991,1.249,1.080,0.816,0.562,0.802,0.887,0.870,0.706,0.748,1.062,1.456,1.336
1992,1.033,0.947,0.810,0.724,0.743,0.581,0.360,0.236,0.157,0.086,0.076,0.103
1993,0.798,0.906,1.116,1.163,1.342,1.413,1.383,1.252,1.072,0.928,1.407,1.340
1994,1.086,0.876,0.728,0.530,1.389,1.334,1.193,0.975,0.806,0.560,0.853,0.756
1995,0.519,0.293,0.133,0.089,0.154,0.159,0.158,0.508,0.565,1.336,1.365,1.282
1996,0.930,0.685,0.412,0.123,0.260,0.265,0.208,0.103,0.121,0.467,0.434,0.290
1997,0.141,0.047,0.083,0.101,0.127,1.456,1.309,1.163,1.042,0.802,0.760,0.664
1998,0.488,0.503,1.330,1.140,0.846,0.658,0.451,0.444,1.146,1.362,1.386,1.140
1999,0.840,0.848,0.737,0.631,0.491,0.526,0.427,0.829,1.012,0.546,1.440,1.348
2000,1.148,1.010,0.778,0.647,0.620,0.388,0.233,0.266,0.368,0.858,0.879,0.926
2001,0.901,0.652,0.234,0.233,0.356,0.384,0.382,0.329,0.468,1.410,1.469,1.457
2002,1.451,1.378,1.314,1.247,1.217,1.304,1.185,1.136,1.381,0.976,0.949,0.889
2003,0.790,0.765,0.697,0.861,0.796,0.823,0.825,0.857,0.775,0.620,0.554,0.502
2004,0.466,0.248,0.300,0.338,0.387,0.398,0.430,0.478,0.562,0.661,0.674,0.672
2005,0.663,0.642,0.617,0.612,0.638,0.803,0.848,0.827,0.763,0.950,0.949,0.833
2006,0.644,0.501,0.510,0.526,0.776,0.950,0.931,0.950,0.915,0.924,0.917,0.907
2007,0.862,0.793,0.770,0.738,0.753,0.794,0.777,0.792,0.836,0.950,0.950,0.950
2008,0.950,0.950,0.950,0.950,0.950,0.950,0.950,0.950,0.950,0.950,0.950,0.950
2009,0.950,0.950,0.950,0.950,0.950,0.947,0.922,0.922,0.927,0.907,0.864,0.803
2010,0.710,0.605,0.506,0.521,0.563,0.581,0.590,0.594,0.950,0.950,0.950,0.950
2011,0.949,0.930,0.918,0.897,0.886,0.950,0.950,0.950,0.950,0.950,0.950,0.945
2012,0.934,0.941,0.939,0.949,0.941,0.936,0.926,0.943,0.943,0.950,0.950,0.948
2013,0.940,0.925,0.914,0.899,0.899,0.901,0.891,0.886,0.887,0.890,0.897,0.885
2014,0.878,0.869,0.860,0.837,0.749,0.514,0.393,0.395,0.234,0.200,0.224,0.223
2015,0.250,0.259,0.256,0.257,0.265,0.267,0.247,0.250,0.207,0.331,0.369,0.380
2016,0.383,0.331,0.331,0.332,0.536,0.545,0.547,0.544,0.536,0.512,0.499,0.482
2017,0.444,0.433,0.388,0.519,0.669,0.668,0.670,0.654,0.654,0.795,0.807,0.821
2018,0.824,0.811,0.794,0.788,0.826,0.820,0.804,0.793,0.799,0.836,0.861,0.853
2019,0.844,0.839,0.818,0.813,0.819,0.839,0.849,0.836,0.843,0.914,0.950,0.950
2020,0.950,0.942,0.943,0.877,0.936,0.925,0.910,0.950,0.950,0.950,0.950,0.950
2021,0.950,0.948,0.924,0.903,0.890,0.906,0.924,0.770,0.662,0.527,0.559,0.542
2022,0.518,0.510,0.375,0.195,0.191,0.182,0.196,0.201,0.205,0.528,0.552,0.548
2023,0.556,0.550,0.530,0.511,0.606,0.925,0.914,0.924,0.935,0.939,0.950,0.950
2024,0.945,0.928,0.904,0.876,0.883,0.950,0.940,0.816,0.910,0.911,0.937,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
