Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1978,39.320,38.560,37.430,36.490,43.900,42.500,41.020,41.460,42.100,57.350,58.820,56.520
1979,53.800,51.360,49.350,59.385,59.214,59.157,58.880,58.940,59.442,59.385,59.157,58.330
1980,57.630,55.310,51.920,51.360,50.120,50.700,49.400,58.820,59.442,58.758,57.490,56.220
1981,53.560,51.400,51.960,48.750,47.820,44.850,44.650,59.214,58.120,57.675,58.460,56.136
1982,52.250,50.120,47.280,44.300,51.150,48.550,45.800,42.650,42.750,46.900,44.200,41.180
1983,38.250,48.120,58.330,57.560,54.220,52.350,50.950,49.600,45.800,41.540,39.640,35.730
1984,30.450,26.710,22.300,19.290,18.960,19.780,16.580,14.560,14.690,14.640,12.760,11.150
1985,9.627,8.150,6.778,5.886,8.136,7.350,6.330,6.576,7.758,7.128,7.905,6.987
1986,6.468,5.916,5.846,5.970,14.240,58.820,56.220,52.990,51.520,50.300,45.800,41.020
1987,36.880,33.900,29.360,28.940,28.760,26.320,22.620,20.260,18.060,21.220,33.400,33.040
1988,31.100,28.880,27.350,25.380,43.720,43.780,43.300,44.020,48.550,51.050,50.000,47.820
1989,43.540,40.160,39.000,36.490,37.610,34.880,31.000,28.550,27.680,25.920,23.050,20.540
1990,18.500,16.160,14.720,12.750,10.940,9.320,8.460,7.099,7.835,14.660,21.700,20.600
1991,17.800,17.120,15.500,14.200,26.140,24.370,21.720,19.340,17.560,15.880,22.930,21.660
1992,19.250,18.360,16.260,14.600,12.750,10.350,7.800,6.516,5.838,5.548,5.164,4.860
1993,16.440,15.560,36.780,49.600,59.670,59.308,57.084,53.888,51.644,45.760,46.612,44.680
1994,41.680,38.760,35.290,29.520,37.800,35.300,31.200,27.470,25.020,21.820,31.620,28.520
1995,25.200,21.800,19.060,15.890,15.480,14.980,13.600,18.060,18.680,33.650,32.150,30.240
1996,29.360,33.160,30.880,28.340,31.000,29.360,27.000,26.870,24.640,44.800,46.612,44.000
1997,40.600,37.900,34.600,29.910,26.160,58.512,54.432,49.876,47.836,45.480,42.120,44.000
1998,40.520,41.520,59.670,58.580,56.064,50.896,44.840,41.800,59.532,56.132,58.920,56.744
1999,53.956,50.760,44.600,40.400,39.840,37.980,35.120,30.570,28.490,38.300,36.850,34.350
2000,38.040,35.790,30.740,26.800,22.630,19.860,16.860,13.610,11.100,12.360,9.297,7.610
2001,6.408,5.808,5.928,6.090,13.327,12.820,11.412,10.820,12.469,22.090,45.600,51.440
2002,48.720,44.720,40.880,37.610,35.870,39.360,36.770,34.428,57.084,59.532,58.648,56.064
2003,51.100,45.480,47.292,59.328,55.180,49.400,45.640,45.720,42.240,39.800,36.080,33.724
2004,30.290,25.650,24.940,25.225,26.325,22.330,18.419,15.735,15.960,17.130,16.245,13.852
2005,12.192,12.096,11.964,12.456,15.825,19.949,58.920,59.670,59.670,59.670,59.396,57.084
2006,54.568,52.800,51.644,52.188,59.670,59.670,59.464,59.670,59.670,59.670,59.670,59.670
2007,59.396,58.920,57.696,59.670,59.670,59.464,59.532,59.670,59.670,59.670,59.670,54.568
2008,59.532,59.532,59.670,59.532,59.464,59.328,58.308,59.670,59.670,59.532,59.670,59.396
2009,59.260,58.852,58.512,58.036,59.670,59.532,58.852,59.328,58.988,59.056,58.920,58.716
2010,55.520,50.148,45.320,57.628,53.276,50.964,48.040,43.920,59.670,59.670,59.396,58.036
2011,55.656,51.576,46.680,43.520,41.160,58.104,54.160,59.600,56.268,55.792,51.236,46.000
2012,40.560,38.440,36.410,34.736,35.090,32.624,31.172,35.180,32.712,59.670,59.532,59.464
2013,59.396,57.696,54.228,51.984,48.924,47.904,45.000,45.320,46.476,46.952,44.440,42.080
2014,38.320,37.100,34.296,32.712,32.668,29.732,27.075,24.940,22.840,21.880,21.080,19.915
2015,18.522,17.112,14.972,13.600,14.846,14.314,12.417,11.292,10.850,11.244,11.256,11.400
2016,10.860,9.660,9.869,10.150,13.587,13.922,14.482,14.622,14.132,18.470,18.368,18.174
2017,17.778,18.012,17.346,28.244,32.316,32.316,31.700,31.700,35.870,37.910,43.360,59.328
2018,59.260,57.220,53.344,49.604,53.752,48.312,42.840,41.320,41.200,40.760,39.120,37.580
2019,37.280,37.430,36.560,35.990,36.890,35.180,31.568,29.794,37.760,43.840,45.640,57.968
2020,53.888,49.264,45.360,42.360,41.160,38.640,37.460,59.328,54.364,58.240,59.260,55.792
2021,50.352,45.160,41.080,38.760,38.360,38.880,40.400,41.560,39.880,41.520,41.000,38.920
2022,36.920,35.180,31.568,33.944,34.736,33.196,30.538,28.120,27.872,35.900,35.000,31.348
2023,28.585,25.850,22.570,21.160,19.507,45.520,42.560,39.200,37.490,35.540,41.120,38.640
2024,36.020,33.020,29.298,26.275,23.140,25.575,23.980,28.399,26.100,25.000,26.400,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
