Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1993,5.516,5.178,5.840,5.840,5.840,5.827,5.802,5.777,5.802,5.727,5.813,5.786
1994,5.774,5.584,5.366,5.324,5.811,5.769,5.727,5.559,5.517,5.466,5.791,5.727
1995,5.676,5.525,5.307,5.040,5.066,4.999,5.025,5.332,5.265,5.802,5.777,5.786
1996,5.752,5.609,5.408,5.248,5.752,5.668,5.450,5.222,5.567,5.836,5.819,5.811
1997,5.752,5.752,4.665,3.194,2.802,5.840,5.827,5.840,5.827,5.819,5.802,5.840
1998,5.760,5.769,5.840,5.840,5.781,5.668,5.702,5.584,5.828,5.811,5.828,5.828
1999,5.777,5.777,5.718,5.643,5.618,5.769,5.777,5.777,5.811,5.811,5.819,5.777
2000,5.013,5.181,4.598,4.169,3.150,3.277,3.271,3.258,3.418,4.323,4.175,4.272
2001,4.178,3.869,3.378,2.982,4.561,4.413,4.299,4.205,4.702,5.840,5.840,5.840
2002,5.840,5.840,5.836,5.766,5.784,5.840,5.662,5.679,5.840,5.840,5.840,5.836
2003,5.840,5.827,5.836,5.840,5.840,5.801,5.810,5.840,5.801,5.801,5.731,5.618
2004,5.488,5.278,5.087,4.998,5.148,5.012,4.998,4.891,4.823,5.670,5.453,5.235
2005,5.005,4.709,4.097,3.829,4.971,5.810,5.840,5.840,5.840,5.840,5.840,5.827
2006,5.810,5.731,4.985,4.904,5.840,5.840,5.840,5.840,5.840,5.840,5.840,5.435
2007,4.783,4.521,4.387,4.192,5.400,5.592,5.592,5.840,5.775,5.840,5.840,5.840
2008,5.801,5.801,5.819,5.801,5.810,5.740,5.505,5.252,5.819,5.801,5.840,5.801
2009,5.784,5.688,5.418,4.966,5.840,5.766,5.479,5.096,4.978,4.823,4.555,3.983
2010,3.412,2.968,2.477,2.229,1.632,1.536,1.406,1.083,4.084,5.840,5.766,5.697
2011,5.409,5.025,4.635,3.976,3.540,5.819,5.819,5.819,5.827,5.766,5.705,5.461
2012,5.052,4.534,4.044,3.580,4.192,3.607,3.049,4.292,3.862,5.840,5.697,5.374
2013,4.998,4.608,4.024,3.513,3.224,2.948,2.464,2.598,4.097,4.198,3.849,3.197
2014,2.162,1.558,1.378,1.185,1.586,1.185,0.811,0.621,0.512,1.117,1.055,0.749
2015,0.506,0.565,0.577,0.590,0.861,1.018,0.873,0.811,0.789,0.990,0.990,0.882
2016,0.662,0.549,0.552,0.549,1.204,1.201,1.185,1.139,1.126,1.738,1.648,1.492
2017,1.272,0.956,0.857,1.275,1.839,1.839,1.772,1.679,2.666,2.840,3.062,4.232
2018,4.467,4.339,4.131,4.299,4.709,4.541,4.286,4.097,4.037,3.909,3.721,3.587
2019,3.472,3.298,3.130,2.861,3.150,2.861,2.491,2.121,4.615,5.592,5.627,5.840
2020,,,,,,,,,,,,
2021,5.697,5.409,4.998,4.702,4.662,4.850,5.313,5.488,5.069,4.931,4.689,4.279
2022,3.882,3.600,3.130,3.331,3.311,3.015,2.605,2.464,2.410,3.103,2.975,2.451
2023,1.866,1.539,1.210,0.836,1.167,5.840,5.801,5.557,5.305,5.139,5.784,5.766
2024,5.679,5.557,5.157,4.830,4.679,5.688,5.618,5.697,5.505,5.183,5.025,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
