Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2016,0.544,0.463,0.397,0.431,0.520,0.519,0.495,0.442,0.407,0.400,0.389,0.386
2017,0.359,0.353,0.329,0.428,0.649,0.558,0.600,0.557,0.663,0.667,0.659,0.659
2018,0.652,0.588,0.578,0.582,0.642,0.604,0.526,0.516,0.482,0.514,0.647,0.699
2019,0.674,0.636,0.596,0.522,0.497,0.472,0.493,0.508,0.787,0.787,0.787,0.787
2020,0.787,0.786,0.780,0.763,0.770,0.758,0.787,0.787,0.787,0.787,0.787,0.787
2021,0.781,0.758,0.632,0.512,0.523,0.586,0.707,0.735,0.696,0.587,0.549,0.512
2022,0.539,0.553,0.569,0.577,0.570,0.599,0.622,0.631,0.787,0.787,0.787,0.787
2023,0.787,0.787,0.772,0.722,0.742,0.787,0.787,0.787,0.787,0.787,0.787,0.787
2024,0.775,0.708,0.651,0.623,0.623,0.793,0.737,0.729,0.784,0.787,0.787,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
