Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2006,1.692,1.682,1.618,1.697,1.702,1.702,1.702,1.702,1.702,1.702,1.702,1.702
2007,1.702,1.638,1.652,1.563,1.702,1.697,1.697,1.687,1.697,1.702,1.702,1.702
2008,1.702,1.702,1.702,1.702,1.702,1.702,1.662,1.638,1.702,1.702,1.702,1.702
2009,1.687,1.628,1.519,1.453,1.702,1.697,1.667,1.692,1.697,1.687,1.647,1.618
2010,1.504,1.398,1.326,1.702,1.702,1.702,1.702,1.647,1.702,1.702,1.702,1.697
2011,1.702,1.652,1.494,1.412,1.476,1.702,1.697,1.702,1.613,1.618,1.497,1.374
2012,1.702,1.268,1.180,1.422,1.384,1.282,1.180,1.384,1.608,1.702,1.702,1.702
2013,1.702,1.682,1.598,1.558,1.657,1.687,1.677,1.677,1.702,1.665,1.248,1.432
2014,1.268,1.163,1.019,1.702,1.702,1.702,1.623,1.702,1.687,1.692,1.553,1.463
2015,1.320,1.120,1.006,0.821,0.678,0.750,0.608,0.555,0.492,0.818,0.746,0.621
2016,0.532,0.477,0.440,0.404,0.413,0.390,0.402,0.386,0.384,0.563,0.542,0.523
2017,0.502,0.486,0.502,0.598,1.593,1.573,1.613,1.573,1.702,1.702,1.702,1.692
2018,1.702,1.628,1.543,1.548,1.553,1.514,1.395,1.343,1.330,1.381,1.578,1.442
2019,1.357,1.262,1.159,1.036,0.982,0.869,0.797,0.668,1.702,1.702,1.702,1.702
2020,1.677,1.608,1.480,1.326,1.316,1.285,1.210,1.702,1.623,1.687,1.702,1.682
2021,1.608,1.476,1.367,1.268,1.173,1.299,1.193,1.098,1.098,1.398,1.320,1.231
2022,1.122,1.029,0.924,0.852,0.954,1.087,1.275,1.200,1.231,1.490,1.682,1.543
2023,1.425,1.333,1.200,1.105,1.702,1.702,1.623,1.538,1.702,1.702,1.702,1.702
2024,1.682,1.657,1.573,1.463,1.618,1.682,1.598,1.519,1.456,1.418,1.470,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
