Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1999,3.784,3.508,3.104,2.746,3.418,4.377,4.307,3.882,3.882,3.457,3.776,3.634
2000,3.294,2.923,2.377,1.893,1.605,1.397,1.133,0.953,0.953,1.171,0.918,1.409
2001,1.764,1.604,1.411,1.218,1.298,2.428,2.404,2.204,2.204,4.410,4.410,4.278
2002,3.916,3.673,3.346,2.919,2.455,2.101,1.749,1.463,1.463,1.925,1.888,1.715
2003,1.527,1.339,1.036,1.574,1.530,1.903,1.992,2.113,2.113,2.950,2.793,2.526
2004,2.188,1.861,1.539,1.322,1.278,1.460,1.534,1.614,1.614,1.572,1.374,4.410
2005,4.272,3.916,3.575,3.316,3.615,4.410,4.295,4.002,4.002,4.410,4.381,4.083
2006,3.740,3.434,3.096,2.817,2.579,3.449,3.552,3.634,3.634,4.393,4.410,4.410
2007,4.318,4.083,4.266,4.387,4.410,4.410,4.399,4.410,4.410,4.410,4.410,4.358
2008,3.979,3.583,3.308,2.962,3.222,3.650,3.469,3.422,3.422,4.180,4.410,4.387
2009,4.071,3.870,3.634,3.257,3.076,3.001,2.821,2.667,2.667,2.296,1.972,1.700
2010,1.493,1.270,1.058,0.939,2.302,3.056,3.229,3.198,3.198,4.410,4.312,4.048
2011,3.862,3.732,3.611,3.389,3.139,4.410,4.404,4.410,4.410,4.410,4.295,4.065
2012,3.815,3.528,3.257,3.039,3.336,3.245,3.222,4.146,4.146,4.410,4.381,4.272
2013,3.991,3.772,3.477,3.442,4.410,4.410,4.341,4.312,4.312,4.410,4.404,4.192
2014,3.299,3.764,3.438,3.662,3.870,4.151,4.019,3.866,3.866,4.410,4.410,4.353
2015,4.060,3.293,3.587,3.371,3.387,3.803,3.618,3.473,3.473,4.410,4.410,4.393
2016,4.261,4.215,4.061,3.846,4.272,4.410,4.255,4.048,4.048,4.410,4.410,4.272
2017,4.169,3.910,3.760,3.481,3.438,3.367,3.135,2.998,2.998,3.881,3.850,4.151
2018,4.146,4.094,3.862,3.713,4.410,4.410,4.249,3.927,4.002,4.410,4.284,3.996
2019,3.599,3.288,2.943,2.553,4.146,4.370,3.991,3.839,4.410,4.376,4.347,4.048
2020,3.803,3.391,3.056,2.703,2.498,2.294,2.129,1.952,2.105,2.023,2.605,2.483
2021,2.278,2.054,1.980,1.853,2.534,4.381,4.393,4.416,4.324,4.335,4.289,3.939
2022,3.670,3.473,3.225,3.383,4.410,4.410,4.410,4.203,3.950,4.266,3.866,3.595
2023,3.249,2.911,2.561,2.447,3.473,4.410,4.192,3.831,3.732,3.922,4.404,4.134
2024,3.803,3.544,3.210,2.781,3.402,3.973,3.725,3.689,3.473,3.422,4.370,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
