Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1978,201.400,202.200,189.900,178.600,175.300,178.200,171.000,153.600,146.600,165.500,177.800,170.000
1979,157.100,149.000,128.500,203.000,203.200,203.100,203.000,188.400,204.000,203.800,202.800,198.200
1980,190.200,187.600,164.800,153.200,147.000,154.100,152.000,197.400,200.700,195.700,188.600,188.000
1981,180.120,175.200,161.600,134.600,131.600,120.800,119.500,161.000,169.800,175.600,200.600,180.400
1982,156.000,130.600,95.050,83.760,128.500,133.600,131.600,120.800,118.000,113.800,106.000,103.100
1983,91.400,109.400,201.200,200.000,194.800,199.300,192.000,192.200,189.600,188.500,185.700,170.600
1984,156.400,138.800,112.000,79.780,47.060,70.780,52.380,44.570,47.690,54.600,54.180,52.180
1985,49.550,44.210,40.150,37.100,51.700,51.060,47.830,52.920,75.200,81.330,94.400,95.270
1986,90.500,75.900,74.920,73.340,79.760,201.400,194.300,178.000,179.400,189.300,188.400,179.000
1987,170.200,164.200,154.500,178.400,194.800,187.600,168.000,157.200,155.600,180.600,202.000,200.700
1988,189.400,174.600,170.800,112.380,203.300,201.370,201.600,197.780,201.200,199.770,190.970,193.640
1989,190.800,185.340,184.830,179.350,186.939,179.829,175.136,148.403,141.293,129.284,117.416,106.786
1990,96.880,85.630,74.220,69.670,109.778,107.302,95.021,78.612,80.573,114.732,174.852,181.109
1991,175.136,163.049,144.990,125.981,151.531,153.948,144.210,129.180,113.081,100.800,124.020,128.561
1992,127.323,131.054,130.343,138.875,144.279,147.549,145.843,145.843,147.407,148.829,145.985,144.705
1993,171.723,171.012,207.831,226.690,243.000,243.000,241.540,241.174,242.520,241.670,242.850,241.670
1994,242.690,242.184,239.658,240.500,243.000,242.521,241.343,239.995,241.848,243.000,243.000,242.858
1995,242.690,242.353,241.679,237.301,233.428,232.080,227.702,231.912,233.428,243.000,242.852,242.521
1996,242.858,243.000,243.000,242.016,243.000,242.690,241.342,241.342,243.000,243.000,243.000,242.858
1997,241.679,241.342,238.311,228.821,202.274,243.000,243.000,242.690,242.858,242.353,231.744,224.671
1998,214.230,208.842,243.000,239.322,216.251,181.250,163.336,157.787,209.347,210.526,221.472,212.210
1999,199.879,193.196,179.971,169.875,159.636,151.246,141.861,132.474,127.735,142.714,160.347,149.682
2000,173.856,164.187,151.088,136.439,124.237,116.187,104.113,91.626,84.814,88.736,76.321,86.672
2001,91.832,88.323,93.793,163.578,168.250,169.129,175.760,185.166,185.150,218.394,241.981,243.000
2002,238.436,229.459,215.190,200.124,196.243,215.045,205.675,198.273,243.000,242.212,242.126,235.429
2003,227.275,220.432,232.954,235.130,225.091,213.589,200.740,190.101,180.078,176.377,164.349,147.233
2004,130.217,115.568,101.842,99.778,107.828,100.810,96.476,94.825,98.230,111.440,111.027,107.415
2005,98.437,91.316,80.170,78.726,93.277,105.661,242.709,242.126,241.253,243.000,241.981,238.486
2006,233.973,232.371,226.693,221.451,240.525,237.322,223.198,243.000,242.709,243.000,243.000,242.126
2007,235.866,228.877,226.693,213.880,226.110,229.459,217.811,208.930,197.502,243.000,241.980,239.942
2008,231.789,220.432,211.987,208.347,199.353,191.797,178.227,190.255,242.126,239.651,243.000,240.670
2009,236.302,228.586,221.160,216.501,234.846,227.712,217.957,206.292,192.414,182.853,168.975,152.938
2010,134.584,136.439,130.271,194.572,195.343,207.328,202.282,190.255,216.646,243.000,238.778,227.566
2011,218.248,208.202,195.652,182.545,174.372,234.555,226.256,225.237,213.006,212.278,197.965,189.638
2012,188.404,178.998,165.737,155.868,148.621,136.439,130.117,157.564,147.387,221.888,216.646,208.638
2013,200.586,186.246,172.984,161.265,149.023,140.294,133.509,129.983,125.682,117.735,112.276,109.066
2014,106.280,104.319,100.294,101.430,107.518,110.511,108.860,110.202,108.654,107.106,107.106,104.835
2015,98.850,95.341,89.768,85.950,87.704,89.665,85.537,84.918,83.060,89.046,89.871,90.494
2016,88.530,89.974,86.672,85.743,109.892,113.814,113.607,111.853,108.757,119.696,117.013,114.226
2017,109.066,103.700,98.437,127.849,156.639,157.256,157.256,150.780,173.910,178.998,190.563,243.000
2018,243.000,242.854,241.981,242.563,243.000,234.846,233.536,225.091,217.520,221.306,222.762,209.949
2019,205.829,202.128,195.035,187.788,183.007,176.223,171.288,164.503,180.386,188.867,183.162,189.021
2020,188.250,182.699,174.989,164.658,157.873,151.242,141.682,176.377,169.129,190.872,242.418,237.467
2021,228.731,216.355,200.432,195.343,191.026,188.667,183.316,178.536,171.597,166.508,165.737,163.270
2022,154.943,137.518,114.846,115.671,124.753,123.205,115.981,115.981,121.760,123.411,116.806,106.693
2023,101.842,96.373,90.284,84.195,86.569,236.594,229.022,221.306,219.122,219.267,238.632,233.245
2024,231.061,226.110,214.026,197.811,187.479,184.858,182.699,195.343,193.030,199.969,227.130,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
