Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1978,2.845,3.406,3.296,3.101,4.555,4.478,3.916,3.360,2.805,4.555,4.527,4.216
1979,3.814,3.302,2.665,4.555,4.520,4.555,4.541,4.520,4.555,4.555,4.548,4.492
1980,4.345,3.886,3.266,2.705,2.760,3.200,2.485,2.600,3.904,3.772,3.784,3.190
1981,2.372,1.702,1.205,0.914,0.618,0.330,0.079,1.866,3.080,2.629,3.065,2.328
1982,1.736,1.334,0.869,0.318,1.469,1.068,0.529,0.090,0.067,0.502,0.429,0.289
1983,0.154,1.720,3.886,4.408,3.868,3.272,2.226,1.566,1.000,0.892,0.289,0.287
1984,0.344,0.451,0.416,0.435,0.360,0.593,0.568,0.550,1.000,1.570,1.397,1.104
1985,0.543,0.348,0.237,0.204,1.202,0.845,0.548,0.476,0.711,0.888,1.716,1.508
1986,1.349,1.126,0.909,0.753,4.387,4.548,4.275,3.574,2.570,1.622,1.502,1.084
1987,1.033,0.970,0.773,1.166,2.850,3.245,2.885,2.694,2.396,3.010,4.506,4.352
1988,3.928,3.454,3.820,3.278,4.555,4.555,4.555,4.086,4.192,4.452,4.393,3.970
1989,3.652,3.330,4.296,4.093,4.401,3.700,2.825,1.938,1.220,0.845,0.625,0.632
1990,0.471,0.359,0.649,0.531,0.474,0.477,0.461,0.395,0.659,4.555,4.192,3.910
1991,3.268,3.205,2.678,1.808,4.555,3.712,2.608,1.478,0.892,0.550,4.394,4.148
1992,3.814,4.100,3.760,3.050,3.255,2.435,1.469,0.645,0.243,0.758,0.670,0.614
1993,4.555,4.254,4.499,4.550,4.555,4.555,4.366,3.205,2.190,2.044,4.172,4.387
1994,3.850,3.065,2.440,1.856,4.030,3.472,2.830,2.368,1.898,1.439,3.766,3.290
1995,2.815,2.238,1.630,0.896,0.709,1.241,1.112,1.672,1.570,4.527,4.132,3.904
1996,4.100,4.310,4.000,3.652,3.766,3.205,2.415,1.832,2.348,4.555,4.555,4.478
1997,4.058,3.664,3.015,2.315,1.586,4.459,4.234,3.784,2.875,2.835,2.410,2.800
1998,2.735,3.640,4.555,4.310,3.430,2.600,1.856,1.720,4.555,4.555,4.415,3.290
1999,1.792,1.436,1.412,1.295,2.958,4.303,4.100,3.508,3.430,4.555,4.555,4.024
2000,3.646,2.895,2.616,1.848,1.633,1.265,0.798,0.429,1.570,2.440,1.654,1.814
2001,0.850,0.387,0.347,0.349,1.527,0.764,0.327,0.333,0.516,3.123,4.555,4.555
2002,4.555,4.277,3.787,3.223,2.767,4.458,3.867,3.217,4.550,4.555,4.555,4.214
2003,3.674,3.356,3.517,4.555,4.548,4.325,4.116,4.555,4.388,4.160,3.865,3.631
2004,2.713,2.559,2.429,2.057,1.955,2.252,2.698,3.068,2.911,2.358,3.674,3.356
2005,1.806,1.586,1.498,1.144,4.513,4.402,4.465,4.555,4.458,3.905,3.289,2.926
2006,2.980,2.336,1.696,1.446,4.555,4.555,4.555,4.555,4.555,4.555,4.555,4.548
2007,4.360,4.092,3.874,3.272,4.555,4.472,4.214,4.402,4.277,4.555,4.555,4.555
2008,4.555,4.550,4.527,4.437,4.207,4.048,3.650,4.555,4.555,4.555,4.555,4.548
2009,4.367,4.110,3.867,3.467,4.555,4.485,4.067,3.618,3.173,2.891,2.545,2.195
2010,1.763,1.357,1.315,1.944,3.034,2.619,1.449,0.803,2.438,4.555,4.451,4.451
2011,2.367,1.534,1.207,1.087,1.197,3.693,2.270,3.600,2.181,2.980,2.747,2.398
2012,1.436,1.253,1.208,1.180,1.357,1.406,1.364,1.222,1.084,4.555,3.874,2.594
2013,1.323,1.264,1.228,1.205,1.188,1.140,1.087,1.067,1.064,1.067,1.143,1.135
2014,1.112,1.567,1.023,1.087,2.230,1.609,1.046,1.039,1.051,1.498,1.521,1.439
2015,1.090,0.604,0.399,0.405,0.484,0.510,0.507,0.444,0.422,0.539,0.559,0.561
2016,0.546,0.515,0.470,0.494,0.630,0.677,0.673,0.718,0.726,1.387,1.380,1.370
2017,1.306,0.783,0.531,1.459,4.555,4.534,4.235,3.562,4.555,4.555,4.555,4.555
2018,4.506,4.060,3.023,2.891,3.594,3.575,2.772,1.202,0.448,0.431,0.459,0.554
2019,1.596,1.979,2.071,2.301,3.178,3.339,2.624,2.398,3.867,4.186,3.849,4.541
2020,4.325,3.483,2.876,2.559,2.038,0.920,0.513,4.555,4.499,4.555,4.555,4.291
2021,3.637,2.851,1.242,0.917,0.946,1.824,3.089,3.267,2.995,2.589,3.217,2.274
2022,1.495,1.908,1.747,2.965,2.584,2.212,1.759,1.295,1.629,4.104,4.214,3.156
2023,2.881,2.609,2.186,1.335,0.989,4.541,3.562,2.980,2.723,2.535,4.555,4.513
2024,3.662,2.767,1.732,0.811,0.420,1.281,0.546,1.861,0.811,0.492,1.245,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
