Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1980,107,57,46.24,55.08,77.76,75.52,70.8,103.55,143.36,168.34,182.34,167.9
1981,155.79,143.36,123.08,101.62,115.98,133.74,124.76,141.2,160.2,159.54,184.2,182.08
1982,177.14,172.52,164.32,117.62,173.62,193.52,184.16,163.5,129.8,136.4,112.25,89.12
1983,62.96,85.6,242.17,222.22,213.38,204.02,181,167.92,148.24,144.64,137.44,128.8
1984,121.28,106.08,85.6,59.52,58.96,123.2,122.72,96.64,134.08,149.68,141.52,124.72
1985,110.56,96,72.64,64.48,71.08,70.12,63.92,50.6,80.16,94.24,123.04,115.36
1986,97.92,89.81,71.2,62.48,84.4,249.73,246.76,248.92,247.57,248.65,238.12,219.36
1987,198.82,180.5,161.2,157.84,176.5,194.25,199.86,182.5,204.8,233.26,247.3,245.68
1988,234.88,216.24,186,148.92,234.34,250,250,244.87,250,250,240.01,228.4
1989,205.06,179.25,184,188.75,194.75,160.96,138.88,142.48,142,126.16,110.92,90.4
1990,75.52,61.6,53.78,55.76,54.98,61.36,74.08,84.8,122.24,179,245.95,241.63
1991,233.55,220.92,206.88,199.6,226.78,242.17,248.38,243.79,248.65,241.09,241.63,243.25
1992,230.02,227.32,218.84,200.12,223,225.43,210.78,199.34,184,175.75,164.32,148.48
1993,198.9,190.75,211.56,215.46,250,250,250,250,250,250,250,250
1994,250,243.42,232.18,238.93,250,250,249.73,249.46,249.73,247.3,250,244.87
1995,234.88,223.54,211.3,193.5,176.5,118.24,121.28,137.44,138.4,195,194,185
1996,175,166,154.24,139.84,145.84,178.25,170.8,167.2,182.5,226.24,239.2,230.02
1997,219.62,213.64,202.98,194,186,237.74,237.04,238.39,226.78,137.2,138.64,142.72
1998,144.6,157.6,222.22,229.48,223.54,238.93,160.24,159.04,250,250,250,237.58
1999,234.61,231.64,224.08,217.54,222.22,242.44,250,250,250,250,250,248.92
2000,243.25,241.63,244.06,175.5,173.5,172.15,164.08,159.28,157.6,164.32,158.56,158.045
2001,153.145,103.52,63.347,61.613,105.92,112.32,118.56,120.64,139.6,235.16,250,250
2002,250,250,244.435,240.46,236.22,246.555,250,250,250,250,250,250
2003,250,250,248.145,250,250,250,250,250,250,250,250,244.965
2004,238.34,228.8,211.575,137.44,130.72,139.36,141.28,118.72,111.2,123.36,119.84,111.841
2005,101.28,90.72,66.727,49.28,61.44,75.133,124.72,149.96,165.15,250,250,250
2006,248.145,246.29,240.99,240.99,250,249.47,248.94,250,250,249.205,250,250
2007,247.085,242.05,237.545,231.45,250,250,250,250,250,250,250,250
2008,250,250,250,249.47,248.41,250,250,250,250,250,250,250
2009,250,247.085,240.725,235.425,250,250,250,250,250,250,249.205,247.085
2010,242.58,237.015,224.825,206.805,240.25,224.295,249.47,250,250,250,250,249.47
2011,248.94,240.99,231.98,225.355,220.585,250,250,250,250,250,250,248.41
2012,244.17,238.605,229.86,222.97,227.74,170.785,175.44,233.57,218.2,250,250,249.735
2013,243.64,231.185,219.525,206.01,185.24,206.01,216.61,216.875,225.62,240.725,225.315,199.915
2014,181.075,154.37,99.2,77.6,113.92,138.4,137.2,133.6,135.52,139.6,137.92,131.68
2015,109.6,93.92,74.093,69.153,74.7,82.72,70.54,64.04,60.747,72.707,74.267,73.66
2016,77.1,69.5,69.067,68.113,96,99.2,106.88,119.04,124.24,167.355,168.825,162.455
2017,157.555,146.08,130,132.4,158.535,162.455,172.01,173.725,215.285,232.775,238.87,248.41
2018,250,249.205,241.255,240.725,250,250,249.47,249.47,250,250,250,248.41
2019,241.52,233.305,225.09,216.345,217.405,212.9,195.285,189.895,206.01,233.835,234.63,250
2020,238.605,223.765,191.61,158.045,144.16,145.12,125.92,156.085,163.435,162.7,226.945,229.86
2021,225.62,221.115,215.285,211.31,218.2,229.33,239.93,236.485,231.98,229.86,218.995,197.795
2022,191.61,177.4,148.245,127.12,133.6,124,124.72,130.2,138.64,153.88,154.615,150.94
2023,225.62,221.115,215.285,211.31,218.2,229.33,230,,,,, 
