Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1993,16.506,16.159,23.363,28.108,62.640,83.600,82.340,80.900,80.500,80.220,82.020,81.540
1994,80.360,79.170,77.910,78.400,82.180,80.150,78.330,76.930,75.600,74.900,78.540,77.280
1995,76.020,74.830,73.305,71.745,69.990,67.455,64.790,63.114,61.170,64.119,63.114,61.573
1996,60.126,59.140,57.342,55.718,55.544,54.272,52.391,50.738,50.510,58.560,63.650,63.114
1997,62.176,61.840,60.126,58.212,56.530,83.600,82.180,80.740,75.600,74.340,72.200,70.575
1998,69.405,69.275,83.600,82.900,80.430,66.665,66.263,65.861,83.600,77.140,76.170,71.745
1999,68.885,68.690,67.260,65.928,66.196,65.727,64.709,64.588,63.918,67.520,68.950,67.975
2000,66.933,59.546,38.560,31.430,32.166,31.722,30.870,30.135,29.295,28.315,27.642,27.028
2001,25.732,23.922,22.084,21.586,23.688,22.590,21.182,20.220,19.840,23.506,45.728,50.795
2002,51.137,50.567,49.820,49.313,49.142,52.220,51.479,50.795,59.430,83.600,83.600,83.600
2003,83.600,82.903,83.600,83.600,83.600,82.593,82.748,83.600,83.600,83.600,83.600,80.500
2004,78.820,78.330,73.850,69.535,65.392,64.588,64.283,63.449,63.114,64.119,59.836,57.690
2005,54.906,50.795,45.721,41.264,39.440,37.560,45.440,43.808,42.944,83.600,83.600,83.135
2006,81.973,79.870,76.170,72.915,83.523,83.600,82.670,83.600,83.058,81.973,80.080,78.190
2007,73.640,70.055,66.129,62.645,73.370,72.860,68.495,65.191,61.573,83.600,83.600,83.600
2008,82.438,79.450,76.440,76.790,73.045,72.265,67.260,69.275,83.600,82.748,83.600,80.578
2009,78.330,74.620,70.785,67.130,71.160,69.080,64.856,59.662,55.718,49.769,45.680,41.552
2010,38.600,38.520,38.040,38.840,38.880,41.984,41.696,40.304,40.196,67.910,66.665,62.779
2011,61.305,63.784,68.040,64.186,60.501,72.590,71.940,78.540,77.910,78.120,75.810,71.940
2012,71.355,67.260,62.846,59.024,56.298,51.536,46.448,46.304,43.328,83.523,81.845,79.100
2013,75.530,71.615,67.615,63.784,60.702,58.386,55.080,52.676,50.111,47.696,44.576,40.928
2014,29.344,37.120,35.163,34.016,33.202,31.944,29.925,28.385,26.866,26.222,23.870,22.480
2015,21.688,21.446,21.094,20.918,21.644,21.930,21.490,21.314,21.028,19.980,19.160,18.211
2016,17.293,16.422,15.594,15.414,15.634,15.936,15.900,16.062,15.990,18.398,18.347,18.296
2017,18.194,18.194,18.109,21.094,21.578,21.226,20.720,20.360,22.908,25.705,28.420,51.137
2018,52.847,52.334,52.049,53.930,56.066,55.544,54.616,54.101,53.987,54.674,52.505,50.339
2019,47.312,44.720,42.656,40.889,41.744,38.920,36.440,34.201,35.720,40.496,39.728,42.944
2020,41.072,39.392,37.280,34.941,34.053,32.684,30.800,46.640,44.624,45.728,74.270,74.060
2021,72.785,71.875,71.030,67.975,64.789,63.650,65.794,66.933,63.717,62.243,59.082,57.806
2022,55.544,53.474,50.567,49.826,50.168,48.656,46.880,44.096,42.320,41.840,40.064,37.960
2023,35.600,33.202,30.100,28.315,27.028,46.736,45.776,43.664,41.456,39.080,42.656,40.016
2024,37.320,35.960,33.942,32.351,31.150,30.800,29.225,28.490,27.757,27.514,27.163,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
