Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2001,1.938,1.572,1.398,1.117,1.007,0.877,0.743,0.659,1.257,1.961,2.381,2.381
2002,2.125,2.041,1.918,1.759,1.635,1.755,2.074,2.381,2.266,2.381,2.380,1.938
2003,2.343,2.266,2.170,2.276,2.327,2.380,2.380,2.381,2.378,2.380,2.362,2.325
2004,2.237,2.143,2.014,1.904,1.951,2.025,2.098,2.153,2.194,2.284,2.262,2.185
2005,2.080,1.966,1.836,1.739,1.861,2.213,2.376,2.381,2.381,2.381,2.381,2.376
2006,2.323,2.253,2.178,2.172,2.335,2.381,2.381,2.381,2.381,2.381,2.380,2.380
2007,2.347,2.290,2.221,2.135,2.381,2.381,2.381,2.381,2.381,1.582,1.220,1.081
2008,1.437,1.467,1.428,1.422,1.449,1.739,1.882,1.982,2.380,2.374,2.381,2.374
2009,2.351,2.290,2.206,2.106,2.381,2.376,2.370,2.325,2.372,2.370,2.325,2.241
2010,2.133,2.043,1.916,1.861,1.800,1.957,2.108,2.196,2.381,2.381,2.372,2.345
2011,2.278,2.210,2.098,2.010,2.180,2.086,2.080,2.076,2.070,2.059,1.970,1.876
2012,1.782,1.669,1.512,1.802,1.978,1.947,1.906,1.967,2.055,2.063,2.039,2.017
2013,1.976,1.912,1.808,1.859,2.039,2.039,2.012,1.982,2.000,1.988,1.969,1.925
2014,1.892,1.957,0.879,1.980,1.980,1.955,1.945,1.947,1.949,1.233,1.925,0.078
2015,1.784,1.679,1.520,1.220,1.236,1.765,1.763,1.787,1.882,1.941,1.937,1.898
2016,1.889,1.765,1.729,1.577,2.000,1.939,1.943,1.908,1.904,1.945,1.878,1.788
2017,1.657,1.490,1.316,1.461,1.626,1.651,1.694,1.729,1.967,2.381,1.906,1.896
2018,1.869,1.808,1.737,1.957,1.941,1.890,1.874,1.808,1.890,1.894,1.839,1.706
2019,1.530,1.377,1.214,0.908,1.208,1.896,1.847,1.796,1.829,1.914,1.882,1.880
2020,1.814,1.671,1.504,1.253,1.265,1.451,1.528,1.673,1.918,1.912,1.912,1.871
2021,1.804,1.663,1.432,1.161,0.908,1.044,1.159,1.516,1.516,1.784,1.859,1.729
2022,1.528,1.330,0.975,0.352,1.573,1.624,1.669,1.729,1.882,1.871,1.845,1.708
2023,1.514,1.300,0.375,0.093,0.539,1.537,1.481,1.392,1.526,1.506,1.514,1.475
2024,1.401,1.320,1.183,0.947,1.181,1.365,1.312,1.192,1.554,1.551,1.548,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
