Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1987,15.978,15.445,14.912,14.619,15.204,14.929,14.447,13.852,13.324,13.966,15.565,15.393
1988,14.912,14.499,14.448,13.897,21.038,25.835,25.137,24.389,23.739,23.522,22.437,21.966
1989,21.197,20.507,20.631,19.745,19.607,18.524,17.647,16.426,15.308,14.000,13.071,12.450
1990,11.604,10.752,9.996,8.976,7.788,6.948,6.260,5.364,4.724,6.812,7.896,7.252
1991,6.612,5.916,5.076,4.156,10.500,10.572,9.900,9.000,8.196,7.872,12.072,11.760
1992,11.148,11.100,10.764,10.056,9.708,8.892,7.944,7.260,6.532,6.100,5.372,4.444
1993,11.760,11.472,13.174,13.845,15.256,17.096,16.597,15.600,14.963,14.155,15.428,15.892
1994,15.256,14.275,13.381,12.771,15.772,15.204,14.361,13.289,12.633,11.868,12.921,12.530
1995,12.060,11.580,10.956,10.032,9.444,8.964,8.088,8.208,8.196,12.048,11.892,11.520
1996,11.172,10.452,9.708,8.772,8.340,7.632,6.900,6.172,5.644,6.812,7.484,7.108
1997,6.436,5.804,5.564,5.484,5.476,16.597,15.944,15.135,14.413,13.776,12.909,12.518
1998,11.940,11.568,15.944,15.582,14.275,12.932,12.000,11.412,12.760,12.392,13.185,12.380
1999,11.484,11.316,10.404,9.348,9.204,8.400,7.412,6.532,7.076,8.856,10.896,10.440
2000,9.708,8.880,7.716,6.892,6.044,5.428,4.564,3.620,5.628,5.796,5.124,4.830
2001,4.310,3.700,3.303,3.054,2.961,2.605,2.337,2.523,2.505,3.381,13.129,14.767
2002,14.681,14.083,13.271,12.557,12.296,14.886,14.493,13.706,17.109,19.640,19.897,19.486
2003,18.802,18.067,17.930,21.402,21.521,20.837,19.863,18.888,17.947,17.127,16.169,15.006
2004,13.741,12.819,12.106,11.320,10.416,9.273,8.369,7.726,7.230,7.360,6.500,5.330
2005,4.340,3.690,3.396,3.244,3.489,3.930,4.540,4.120,4.860,18.631,19.161,18.666
2006,17.828,17.178,16.254,15.434,17.845,25.709,25.318,28.393,28.076,27.222,26.416,25.367
2007,24.196,23.098,22.070,21.094,21.966,21.915,21.008,20.769,20.068,34.200,34.200,34.054
2008,33.444,32.419,31.589,30.784,29.979,28.783,27.368,26.416,28.368,27.710,30.368,30.247
2009,29.393,28.490,27.636,26.685,29.881,29.564,28.612,27.295,26.270,25.172,24.074,23.098
2010,21.863,21.145,20.598,20.495,20.393,20.547,19.965,19.230,19.367,23.464,22.878,22.098
2011,21.333,20.564,19.777,18.751,18.118,24.733,24.342,25.001,24.025,24.098,22.976,21.778
2012,20.906,19.948,19.127,18.392,17.605,16.990,16.015,15.417,14.613,19.247,19.093,18.734
2013,17.947,17.109,16.032,15.280,14.510,13.706,13.164,12.617,12.105,11.487,11.296,10.642
2014,10.023,9.535,8.702,8.155,8.750,8.333,7.571,6.810,6.190,6.220,5.820,5.040
2015,4.520,4.160,3.530,3.281,3.121,3.932,2.653,2.493,2.315,2.363,2.219,2.196
2016,2.245,2.245,2.207,2.282,3.307,3.318,3.192,3.106,2.939,2.973,2.757,2.560
2017,2.278,2.196,2.130,3.207,7.988,7.952,7.679,7.420,9.356,9.821,11.296,13.758
2018,14.356,14.066,13.895,13.212,13.587,13.022,12.843,12.593,12.438,12.569,12.557,12.343
2019,12.462,12.427,12.248,12.189,12.117,12.022,11.725,11.415,12.343,13.843,13.946,14.647
2020,14.322,13.587,13.069,12.736,12.617,12.189,11.808,12.272,11.974,12.367,16.887,17.161
2021,16.682,16.186,15.194,14.305,13.367,13.057,12.879,13.141,12.700,12.534,12.379,11.713
2022,11.011,10.320,9.618,9.583,9.130,8.666,7.845,7.150,6.750,8.476,8.166,7.240
2023,6.590,6.010,5.100,4.320,4.732,15.605,15.228,14.237,13.758,12.974,15.861,15.570
2024,14.938,14.134,13.200,12.688,12.177,12.772,12.450,12.319,12.046,12.046,12.462,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
