Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1980,107.000,57.000,46.240,55.080,77.760,75.520,70.800,103.550,143.360,168.340,182.340,167.900
1981,155.790,143.360,123.080,101.620,115.980,133.740,124.760,141.200,160.200,159.540,184.200,182.080
1982,177.140,172.520,164.320,117.620,173.620,193.520,184.160,163.500,129.800,136.400,112.250,89.120
1983,62.960,85.600,242.170,222.220,213.380,204.020,181.000,167.920,148.240,144.640,137.440,128.800
1984,121.280,106.080,85.600,59.520,58.960,123.200,122.720,96.640,134.080,149.680,141.520,124.720
1985,110.560,96.000,72.640,64.480,71.080,70.120,63.920,50.600,80.160,94.240,123.040,115.360
1986,97.920,89.810,71.200,62.480,84.400,249.730,246.760,248.920,247.570,248.650,238.120,219.360
1987,198.820,180.500,161.200,157.840,176.500,194.250,199.860,182.500,204.800,233.260,247.300,245.680
1988,234.880,216.240,186.000,148.920,234.340,250.000,250.000,244.870,250.000,250.000,240.010,228.400
1989,205.060,179.250,184.000,188.750,194.750,160.960,138.880,142.480,142.000,126.160,110.920,90.400
1990,75.520,61.600,53.780,55.760,54.980,61.360,74.080,84.800,122.240,179.000,245.950,241.630
1991,233.550,220.920,206.880,199.600,226.780,242.170,248.380,243.790,248.650,241.090,241.630,243.250
1992,230.020,227.320,218.840,200.120,223.000,225.430,210.780,199.340,184.000,175.750,164.320,148.480
1993,198.900,190.750,211.560,215.460,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000
1994,250.000,243.420,232.180,238.930,250.000,250.000,249.730,249.460,249.730,247.300,250.000,244.870
1995,234.880,223.540,211.300,193.500,176.500,118.240,121.280,137.440,138.400,195.000,194.000,185.000
1996,175.000,166.000,154.240,139.840,145.840,178.250,170.800,167.200,182.500,226.240,239.200,230.020
1997,219.620,213.640,202.980,194.000,186.000,237.740,237.040,238.390,226.780,137.200,138.640,142.720
1998,144.600,157.600,222.220,229.480,223.540,238.930,160.240,159.040,250.000,250.000,250.000,237.580
1999,234.610,231.640,224.080,217.540,222.220,242.440,250.000,250.000,250.000,250.000,250.000,248.920
2000,243.250,241.630,244.060,175.500,173.500,172.150,164.080,159.280,157.600,164.320,158.560,158.045
2001,153.145,103.520,63.347,61.613,105.920,112.320,118.560,120.640,139.600,235.160,250.000,250.000
2002,250.000,250.000,244.435,240.460,236.220,246.555,250.000,250.000,250.000,250.000,250.000,250.000
2003,250.000,250.000,248.145,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,244.965
2004,238.340,228.800,211.575,137.440,130.720,139.360,141.280,118.720,111.200,123.360,119.840,111.841
2005,101.280,90.720,66.727,49.280,61.440,75.133,124.720,149.960,165.150,250.000,250.000,250.000
2006,248.145,246.290,240.990,240.990,250.000,249.470,248.940,250.000,250.000,249.205,250.000,250.000
2007,247.085,242.050,237.545,231.450,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000
2008,250.000,250.000,250.000,249.470,248.410,250.000,250.000,250.000,250.000,250.000,250.000,250.000
2009,250.000,247.085,240.725,235.425,250.000,250.000,250.000,250.000,250.000,250.000,249.205,247.085
2010,242.580,237.015,224.825,206.805,240.250,224.295,249.470,250.000,250.000,250.000,250.000,249.470
2011,248.940,240.990,231.980,225.355,220.585,250.000,250.000,250.000,250.000,250.000,250.000,248.410
2012,244.170,238.605,229.860,222.970,227.740,170.785,175.440,233.570,218.200,250.000,250.000,249.735
2013,243.640,231.185,219.525,206.010,185.240,206.010,216.610,216.875,225.620,240.725,225.315,199.915
2014,181.075,154.370,99.200,77.600,113.920,138.400,137.200,133.600,135.520,139.600,137.920,131.680
2015,109.600,93.920,74.093,69.153,74.700,82.720,70.540,64.040,60.747,72.707,74.267,73.660
2016,77.100,69.500,69.067,68.113,96.000,99.200,106.880,119.040,124.240,167.355,168.825,162.455
2017,157.555,146.080,130.000,132.400,158.535,162.455,172.010,173.725,215.285,232.775,238.870,248.410
2018,250.000,249.205,241.255,240.725,250.000,250.000,249.470,249.470,250.000,250.000,250.000,248.410
2019,241.520,233.305,225.090,216.345,217.405,212.900,195.285,189.895,206.010,233.835,234.630,250.000
2020,238.605,223.765,191.610,158.045,144.160,145.120,125.920,156.085,163.435,162.700,226.945,229.860
2021,225.620,221.115,215.285,211.310,218.200,229.330,239.930,236.485,231.980,229.860,218.995,197.795
2022,191.610,177.400,148.245,127.120,133.600,124.000,124.720,130.200,138.640,153.880,154.615,150.940
2023,134.320,117.600,97.760,88.000,95.200,250.000,250.000,250.000,250.000,250.000,250.000,250.000
2024,249.470,246.820,243.375,239.135,234.895,243.640,250.000,250.000,250.000,250.000,250.000,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
